"message","date_time"
"Cannot fetch user payment details","21/04/2025 12:00:04"
"Database Connection Error: payments is not iterable","21/04/2025 12:00:04"
"Cannot fetch user payment details","22/04/2025 09:00:05"
"Database Connection Error: payments is not iterable","22/04/2025 09:00:05"
"Cannot fetch user payment details","22/04/2025 12:00:06"
"Database Connection Error: payments is not iterable","22/04/2025 12:00:06"
"Cannot fetch user payment details","22/04/2025 15:00:04"
"Database Connection Error: payments is not iterable","22/04/2025 15:00:04"
"Cannot fetch user payment details","23/04/2025 09:00:03"
"Database Connection Error: payments is not iterable","23/04/2025 09:00:03"
"Cannot fetch user payment details","23/04/2025 12:00:04"
"Database Connection Error: payments is not iterable","23/04/2025 12:00:04"
"Cannot fetch user payment details","24/04/2025 09:00:04"
"Database Connection Error: payments is not iterable","24/04/2025 09:00:05"
"Cannot fetch user payment details","24/04/2025 12:00:04"
"Database Connection Error: payments is not iterable","24/04/2025 12:00:04"
"Cannot fetch user payment details","24/04/2025 15:00:05"
"Database Connection Error: payments is not iterable","24/04/2025 15:00:05"
"API Call Failed: timeout of 10000ms exceeded","28/04/2025 09:00:34"
"Skipping API call due to token error.","28/04/2025 12:00:27"
"API Call Failed: timeout of 10000ms exceeded","28/04/2025 15:00:24"
"Cannot fetch user payment details","29/04/2025 12:00:08"
"Database Connection Error: payments is not iterable","29/04/2025 12:00:08"
"Cannot fetch user payment details","29/04/2025 15:00:05"
"Database Connection Error: payments is not iterable","29/04/2025 15:00:05"
"Cannot fetch user payment details","02/05/2025 09:00:05"
"Database Connection Error: payments is not iterable","02/05/2025 09:00:05"
"Cannot fetch user payment details","02/05/2025 12:00:04"
"Database Connection Error: payments is not iterable","02/05/2025 12:00:04"
"Cannot fetch user payment details","02/05/2025 15:00:03"
"Database Connection Error: payments is not iterable","02/05/2025 15:00:03"
"Cannot fetch user payment details","05/05/2025 09:00:05"
"Database Connection Error: payments is not iterable","05/05/2025 09:00:05"
